No,Field,Name,Affiliation,Research Topic,Keywords,Webpages,Campus
84,Biological Sciences,"Asst. Prof. Katsura, Yukako",Center for the Evolutionary Origins of Human Behavior (EHUB),1. Genome and Sex chromosome evolution 2. Transcriptome analyses 3. Molecular evolution in primates and other vertebrates.,Evolutionarty Genetics Genome Science Molecular Evolution,https://www.biol.s ci.kyoto- u.ac.jp/en/laborato,Inuyama
85,Biological Sciences,"Snr. Lec. /Jr. Assoc. Prof. Namasivayam, Ganesh- Pandian",Institute for Integrated Cell- Material Sciences (iCeMS) /GS of Engineering,1. Epigenetics 2. Nucleic acid therapeutics 3. Stem cell control 4. Personalized medicine,#Skin Cell Aging #Mitochondria #Chemical Biology,https://www.nama sivayam.icems.ky oto-u.ac.jp/,Yoshida
86,Biological Sciences,"Prof. Suzuki, Jun",Institute for Integrated Cell- Material Sciences (iCeMS) /GS of Biostudies,1. Lipid scrambling 2. Cellular and tissue renovation 3. Elimination of unwanted cells,#Unbiased Screening #Establishemnt of Assay System #Diseases Treatment,https://www.suzuk,Yoshida
87,Biological Sciences,"Asst. Prof. Isobe, Masanori",Kyoto University Hospital,1. Psychiatry and clinical neuroscience 2. Neuroimaging 3. Neurodevelopmental disorders and eating disorders,"cognitive neuroscience, neuroimaging, MRI, anorexia nervosa, autism spectrum disorder, attention-deficit/ hyperactivity disorder",http://www.tedi.m ed.kyoto-u.ac.jp/,Yoshida
88,Agricultural and Environmental Sciences,"Asso. Prof. Dannoura, Masako",GS of Agriculture,"Forest carbon cycle, GHG(CO2, CH4) measurement, woody root, 13CO2 pulse labelling, phloem loading","#Forest carbon cycle, #GHG(CO2, CH4) measurement, #13CO2 pulse labelling",https://sites.google,Yoshida
89,Agricultural and Environmental Sciences,"Prof. Nasuda, Shuhei",GS of Agriculture,1. Plant breeding 2. Plant reproduction science 3. Plant genetics and genomics,#Gametogenesis #Genetic Resources #Wheat,https://www.ikush u.kais.kyoto- u.ac.jp/index.html,Yoshida
90,Agricultural and Environmental Sciences,"Assoc. Prof. Teramoto, Yoshikuni",GS of Agriculture,1. Bio-based sustainable materials 2. Functional materials design 3. Advanced wood utilization,# Cellulose and Other Structural Polysaccharides # Composite Materials # Materials Informatics,https://www.chem biomater.kais.kyo to- u.ac.jp/?lang=en,Yoshida
91,Agricultural and Environmental Sciences,"Prof. Saizen, Izuru",GS of Global Environmental Studies (GSGES),1. Regional planning 2. GIS application 3. Field science,#Regional Resources #GIS and Remote Sensing #Field Survey,http://lrp.ges.kyot o-u.ac.jp/,Yoshida
92,"Medical, Dental and Pharmaceutical Sciences","Prof. Inoue, Kosuke",GS of Medicine,"- Identifying Heterogeneous Treatment Effects (BMJ 2024, Circulation 2023, IJE 2023) - Identifying Mechanisms (Epidemiology 2022, JAMA Netw Open 2020) - Cardiovascular and Endocrine Epidemiology (JAMA 2025, JAMA IM 2025, Annals IM 2025 [in press])",- Epidemiology - Endocrinology - Cardiovascular Disease - Causal Inference - Machine Learning,,Yoshida
93,"Medical, Dental and Pharmaceutical Sciences","Assoc. Prof. Kim, Minsoo",GS of Medicine,1. Bacterial infection and host immune response 2. Targeted protein degradation for drug discovery 3. Post-translational modifications of proteins 4. Cell adhesion and cancer progression,#Ubiquitin Proteasome System #Anti-Cancer Therapy and Antibiotics Development #Immune Response,https://ubiquitinlin,Yoshida
94,"Medical, Dental and Pharmaceutical Sciences","Prof. Nishiura, Hiroshi",GS of Medicine,Mathematical modelling of infectious diseases,"#Vaccination, #Reproduction number, #Forecasting",https://researchma,Yoshida
95,"Medical, Dental and Pharmaceutical Sciences","Prof. Ono, Koh",GS of Medicine,Cardiovascular Diseases,"#Heart Failure, #Atherosclerosis, #non- coding RNA",https://www.med. kyoto- u.ac.jp/en/researc h/field/doctoral_c ourse/r-031,Yoshida
96,"Medical, Dental and Pharmaceutical Sciences","Assoc. Prof. Mizumoto, Kenji",GS of Advanced Integrated Studies in Human Survivability (GSAIS),Health risk estimation,#Infectious Disease #Vulnerable Population,https://www.gsais.,Yoshida
97,"Medical, Dental and Pharmaceutical Sciences","Assoc. Prof. Hotta, Akitsu",Center for iPS Cell Research and Application (CiRA),"1. How can we develop a novel therapy for genetically intractable disorders, such as muscular dystrophy? 2. What genome editing tools can restore genetic mutations? 3. How do we deliver genome editing tools to the target tissue?",#Genome editing therapy #iPS cell therapy #Muscular dystrophy,https://hotta- lab.cira.kyoto- u.ac.jp/en/index.ht,Yoshida
